head_pitch_deg_mean,head_pitch_deg_std,head_yaw_deg_mean,head_yaw_deg_std,left_arm_angle_mean,left_arm_angle_std,right_arm_angle_mean,right_arm_angle_std,torso_pitch_mean,torso_pitch_std,torso_yaw_mean,torso_yaw_std,L_WRIST_accum_dist_avg,R_WRIST_accum_dist_avg,L_SHOULDER_accum_dist_avg,R_SHOULDER_accum_dist_avg,pose_LEFT_SHOULDER_x_peaks_per_s,pose_LEFT_SHOULDER_y_peaks_per_s,pose_LEFT_SHOULDER_z_peaks_per_s,pose_RIGHT_SHOULDER_x_peaks_per_s,pose_RIGHT_SHOULDER_y_peaks_per_s,pose_RIGHT_SHOULDER_z_peaks_per_s,pose_LEFT_ELBOW_x_peaks_per_s,pose_LEFT_ELBOW_y_peaks_per_s,pose_LEFT_ELBOW_z_peaks_per_s,pose_RIGHT_ELBOW_x_peaks_per_s,pose_RIGHT_ELBOW_y_peaks_per_s,pose_RIGHT_ELBOW_z_peaks_per_s,pose_LEFT_WRIST_x_peaks_per_s,pose_LEFT_WRIST_y_peaks_per_s,pose_LEFT_WRIST_z_peaks_per_s,pose_RIGHT_WRIST_x_peaks_per_s,pose_RIGHT_WRIST_y_peaks_per_s,pose_RIGHT_WRIST_z_peaks_per_s,pose_LEFT_HIP_x_peaks_per_s,pose_LEFT_HIP_y_peaks_per_s,pose_LEFT_HIP_z_peaks_per_s,pose_RIGHT_HIP_x_peaks_per_s,pose_RIGHT_HIP_y_peaks_per_s,pose_RIGHT_HIP_z_peaks_per_s,left_hand_WRIST_x_peaks_per_s,left_hand_WRIST_y_peaks_per_s,left_hand_WRIST_z_peaks_per_s,right_hand_WRIST_x_peaks_per_s,right_hand_WRIST_y_peaks_per_s,right_hand_WRIST_z_peaks_per_s,head_pitch_deg_peaks_per_s,head_yaw_deg_peaks_per_s,left_arm_angle_peaks_per_s,right_arm_angle_peaks_per_s,torso_pitch_peaks_per_s,torso_yaw_peaks_per_s,dist_wrist_lr_peaks_per_s,dist_elbows_lr_peaks_per_s,dist_left_wrist_to_left_shoulder_peaks_per_s,dist_right_wrist_to_right_shoulder_peaks_per_s,dist_left_wrist_to_right_shoulder_peaks_per_s,dist_right_wrist_to_left_shoulder_peaks_per_s,label
-0.71307325,0.9347621,-0.099692754,-1.456229,1.0870128,1.867109,0.7470864,1.3656709,0.37635535,0.69946873,1.4281487,-0.96517473,1.1576313,0.345675,-0.13202593,-0.22330084,1.0113354,0.09489278,-1.9903847,1.2036228,0.38809195,-1.1795359,0.341009,0.7543415,-1.9826077,-0.09090204,-0.39040694,-0.34282666,1.0840671,-0.72698134,-0.19430993,-0.429321,0.14635871,-0.3221008,2.0946794,0.8219629,-2.4942534,1.1799753,-0.58789855,-2.2967896,0.62074316,-0.5687089,-0.17406401,1.8391972,0.52143687,0.33215302,-1.661353,1.990697,-2.0039527,-2.1855383,-0.7248894,-0.4101476,0.7617355,-1.1289599,-1.6869794,-1.8068634,-1.4817845,-2.1940477,1
-2.5848045,1.527422,-0.51756686,-0.43717685,1.1992558,2.351086,2.096243,3.3817897,0.03608457,0.34797624,1.4367571,-1.3344797,1.4540299,1.4673941,-0.004976723,-0.090795904,1.5763652,0.6551021,-0.16859515,1.0655946,0.10061813,-0.8428272,0.802028,-0.53525645,-0.42319712,0.25895151,-1.7495458,-0.2680237,-0.19787882,-0.4033498,-0.98233545,-0.8057827,-0.5759088,1.2367938,1.0971119,-0.33458635,0.4948831,-0.035250355,-0.5461122,0.50476295,-0.6334411,-0.76862025,-0.38090804,-1.1257868,-0.6889914,0.24931075,-0.15841593,0.035182316,-1.1744478,-0.9840037,-0.23302762,0.28274614,-0.9654244,-1.158877,-1.2434044,-1.2291431,-0.9740851,-1.6401957,2
-1.9037038,0.4918959,-0.06841129,-1.329896,1.3817962,1.4153205,1.9739524,2.9337628,0.47919816,-0.18691552,0.39669183,0.6267952,0.8733002,0.91676223,-0.4918914,-0.19514868,0.23945145,-0.22316174,-0.91902673,2.1028273,1.3954723,0.8925311,-0.28745696,0.12355847,0.38958588,0.1739574,0.10208305,-0.13916565,0.19601372,-0.5017662,-0.2530635,0.054395117,-0.36791116,-0.3873218,1.147442,0.56818926,-2.4838402,0.6406984,1.2096941,-2.6080606,-0.32918912,-0.9517148,0.17188588,-0.36172464,0.7050706,-0.66138875,-0.6325699,0.020298138,-0.57485634,-1.3409935,0.60189337,-0.8663513,-1.4275957,-1.4841523,-1.2970412,-0.4347921,-1.4385585,-1.6350688,2
-1.5415063,0.6964326,-0.055048253,-0.60737413,0.001614304,0.89561427,0.7082071,0.46321896,0.9156534,0.17361672,0.3516445,0.2980821,0.69122446,0.6211862,-0.2939014,-0.35254163,0.33405715,0.27199432,0.16359027,-0.1854921,1.5030586,-1.0149001,1.2378316,0.95768136,-1.5421201,-0.091576956,-0.205014,-0.56203914,0.1781321,-0.59440905,-2.0541444,0.36859745,-0.30689818,-0.51699,0.056497753,0.76747566,-1.0519711,0.90942675,1.0286028,-0.8607722,0.032252464,0.069935285,-0.8705257,-0.9284999,-0.21426453,-0.35162738,-1.0822192,0.1772639,-1.0620795,-1.549359,-0.036265567,-0.39974695,1.2393583,-0.25740024,-0.50933313,-0.9268387,0.007425018,-0.19574484,1
-1.0033288,-0.39597696,0.24318251,-0.32307425,1.13064,2.045609,1.7719398,2.009675,0.42233607,-0.023736568,0.4043148,0.48685205,0.8243949,0.012075614,0.10741756,0.1106873,0.2705816,0.19852133,0.22136219,0.4948224,-0.023126759,-0.02548425,0.8433147,0.4166867,-0.90904456,0.048634328,-2.13738,1.0012634,0.38433138,0.011710251,-0.64826506,0.94523907,-0.6911997,0.47192758,2.126655,1.3631836,-0.81513315,0.55717444,0.052722387,-0.7877493,0.35501313,-0.5751077,-0.8705257,-0.30375922,-0.5429217,-0.43903658,0.059559844,-0.14356582,-0.95632124,-1.4080198,0.23920111,-0.5568677,-0.33548686,-0.82833594,0.18803556,-0.5000565,-0.4529293,0.5620002,1
1.4602917,2.1741874,-2.1609209,1.8553045,-0.14443591,1.1627997,-1.312603,0.60850847,-1.765085,0.5936236,1.4960654,-3.0248566,-0.23720104,-0.42566642,-1.1123508,-0.8991754,-0.915321,-1.2446029,-0.019515738,-1.1937488,2.3566873,-0.5417009,0.055835966,-1.0518286,0.42048672,1.4716623,1.7790174,-0.27057666,0.7864513,-0.98255754,1.4156103,-0.02735196,-0.20658888,-0.22890443,0.36815643,1.4782866,-1.0409328,0.2705959,-0.9066167,-1.0105319,0.49861407,-0.8681098,0.21311088,1.6401275,2.066526,-0.73459816,0.22211844,0.9993018,-0.06633932,1.2965813,-1.7457609,-1.2639111,0.82829714,0.42049026,-0.99518853,-0.10461949,-1.4192761,-0.08095856,0
1.8042958,2.413075,-1.4495109,2.3984227,-0.9372225,-1.0514498,-1.6373278,-1.3352314,-0.19005679,0.052474007,0.29130504,0.010301595,-0.05698821,-0.18813802,-0.4548193,-0.40739048,-0.28097308,0.35790315,0.097331576,0.04594267,0.4085138,-0.44750965,-0.4950769,2.4079933,-1.441573,0.4975769,1.1088561,0.63054085,-0.6445393,-0.040746156,-0.43373173,-0.12339134,-0.83982,0.76543915,0.63766557,1.5330036,-0.61519396,0.99790734,0.006472355,-0.5904817,-1.6125259,-0.6609095,-1.3843215,-0.24111356,0.14935152,-1.0066785,-1.8040832,-1.4632888,0.9089837,0.8564148,-1.392339,-0.7693715,0.81790704,0.6903607,0.45887667,0.586115,-0.40871724,-0.5018949,0
0.34164953,-0.68889713,-0.08965487,-1.1948915,-0.06903914,0.17040664,-0.3689651,-0.7362811,-1.0186154,-0.35487953,1.3093129,-0.48753545,0.037478484,-0.32888278,-0.62158376,-0.5141281,-0.40789953,-0.6437542,-0.10627332,-0.9760594,0.85871905,-0.17869933,0.3405852,-0.07385714,-0.5149612,-1.6381289,0.13537793,-0.96185404,-0.17461696,-1.4918554,-0.48313665,0.10792372,-1.6851184,0.33518925,0.6586952,1.1220446,-2.1047695,1.5640694,0.43148926,-1.9061055,-0.4703108,-0.59749246,-0.10577296,0.8700515,0.7560314,0.3069347,0.8697536,0.8416501,0.4120169,-0.566119,-0.44937554,-0.60099053,0.16884752,0.459528,-0.1470738,-0.3123237,-0.48600733,-0.7273986,0
0.22822204,3.4494152,0.38669217,3.092242,-0.147226,1.3561994,-0.20000297,1.2563127,-1.0539412,0.4302431,-0.06976507,0.35165867,-0.031535905,-0.25603008,-0.9092007,-0.73253816,0.68546396,0.32135913,-0.84914404,0.08118216,0.9627498,-0.21397315,0.83164364,0.8331305,-0.87658256,0.84471846,0.32710087,-0.86028737,1.638244,0.2854834,0.017514654,-0.0047807964,-0.955186,0.9220513,0.4226804,2.4392493,0.6096677,0.14891003,0.9148073,0.85643625,-0.13397478,-1.5062785,-0.81650186,-0.464563,-0.09645466,0.47227347,-1.397721,-1.197687,-1.0415264,-0.49456242,-0.82095,-0.87915975,0.7251684,-0.017961748,-1.5893002,-0.4457654,-0.73431647,0.73018336,1
1.478895,0.44356346,2.6773324,1.2957691,-1.8338934,-1.546615,-0.56054157,-0.5338281,-0.15198982,0.5579721,-1.7538201,-0.4403162,-1.3508556,-1.2268342,-1.1488075,-1.2643231,0.6025046,0.0108596105,0.9611456,-0.8707592,-1.7887731,1.547996,2.2897327,1.1619858,-0.18457142,-0.11849003,0.013996067,0.70325327,-0.40301993,0.40169957,0.83038884,0.56691533,0.4477765,1.2945044,1.1704438,0.903808,0.23097262,1.0441813,0.15096517,0.6972206,-0.6021668,0.20009817,-0.5626995,1.3751638,1.0231606,-0.51295286,-0.19791491,-0.5041989,1.0362281,-0.10419397,0.5767341,-0.4417959,0.6154099,1.1069151,0.07053473,0.527754,0.40435445,0.7360207,2
